line_number,shakespeare_line
13949,"So clear in his great office, that his virtues"
13950,"Will plead like angels, trumpet-tongued, against"
13951,The deep damnation of his taking-off;
13952,"And pity, like a naked new-born babe,"
13953,"Striding the blast, or heaven’s cherubin, hors’d"
13954,"Upon the sightless couriers of the air,"
13955,"Shall blow the horrid deed in every eye,"
13956,That tears shall drown the wind.—I have no spur
13957,"To prick the sides of my intent, but only"
13958,"Vaulting ambition, which o’erleaps itself"
13959,And falls on th’ other—
13960,How now! what news?
13961,He has almost supp’d. Why have you left the chamber?
13962,Hath he ask’d for me?
13963,Know you not he has?
13964,We will proceed no further in this business:
13965,He hath honour’d me of late; and I have bought
13966,"Golden opinions from all sorts of people,"
13967,"Which would be worn now in their newest gloss,"
13968,Not cast aside so soon.
13969,Was the hope drunk
13970,Wherein you dress’d yourself? Hath it slept since?
13971,"And wakes it now, to look so green and pale"
13972,At what it did so freely? From this time
13973,Such I account thy love. Art thou afeard
13974,To be the same in thine own act and valour
13975,As thou art in desire? Wouldst thou have that
13976,"Which thou esteem’st the ornament of life,"
13977,"And live a coward in thine own esteem,"
13978,"Letting “I dare not” wait upon “I would,”"
13979,Like the poor cat i’ th’ adage?
13980,I dare do all that may become a man;
13981,Who dares do more is none.
13982,"What beast was’t, then,"
13983,That made you break this enterprise to me?
13984,"When you durst do it, then you were a man;"
13985,"And, to be more than what you were, you would"
13986,Be so much more the man. Nor time nor place
13987,"Did then adhere, and yet you would make both:"
13988,"They have made themselves, and that their fitness now"
13989,"Does unmake you. I have given suck, and know"
13990,How tender ’tis to love the babe that milks me:
13991,"I would, while it was smiling in my face,"
13992,Have pluck’d my nipple from his boneless gums
13993,"And dash’d the brains out, had I so sworn as you"
13994,Have done to this.
13995,If we should fail?
13996,"But screw your courage to the sticking-place,"
13997,And we’ll not fail. When Duncan is asleep
13998,(Whereto the rather shall his day’s hard journey
13999,"Soundly invite him), his two chamberlains"
14000,Will I with wine and wassail so convince
14001,"That memory, the warder of the brain,"
14002,"Shall be a fume, and the receipt of reason"
14003,A limbeck only: when in swinish sleep
14004,"Their drenched natures lie as in a death,"
14005,What cannot you and I perform upon
14006,Th’ unguarded Duncan? what not put upon
14007,His spongy officers; who shall bear the guilt
14008,Of our great quell?
14009,Bring forth men-children only;
14010,For thy undaunted mettle should compose
14011,"Nothing but males. Will it not be receiv’d,"
14012,When we have mark’d with blood those sleepy two
14013,"Of his own chamber, and us’d their very daggers,"
14014,That they have done’t?
14015,"Who dares receive it other,"
14016,As we shall make our griefs and clamour roar
14017,"I am settled, and bend up"
14018,Each corporal agent to this terrible feat.
14019,"Away, and mock the time with fairest show:"
14020,False face must hide what the false heart doth know.
14021,SCENE I. Inverness. Court within the Castle.
14022,Enter Banquo and Fleance with a torch before him.
14023,"How goes the night, boy?"
14024,The moon is down; I have not heard the clock.
14025,And she goes down at twelve.
14026,"I take’t, ’tis later, sir."
14027,"Hold, take my sword.—There’s husbandry in heaven;"
14028,Their candles are all out. Take thee that too.
14029,"A heavy summons lies like lead upon me,"
14030,"And yet I would not sleep. Merciful powers,"
14031,Restrain in me the cursed thoughts that nature
14032,Gives way to in repose!
14033,Enter Macbeth and a Servant with a torch.
14034,Give me my sword.—Who’s there?
14035,"What, sir, not yet at rest? The King’s abed:"
14036,He hath been in unusual pleasure and
14037,Sent forth great largess to your offices.
14038,"This diamond he greets your wife withal,"
14039,"By the name of most kind hostess, and shut up"
14040,"Our will became the servant to defect,"
14041,Which else should free have wrought.
14042,I dreamt last night of the three Weird Sisters:
14043,To you they have show’d some truth.
14044,I think not of them:
14045,"Yet, when we can entreat an hour to serve,"
14046,"We would spend it in some words upon that business,"
14047,If you would grant the time.
14048,At your kind’st leisure.
14049,"If you shall cleave to my consent, when ’tis,"
14050,It shall make honour for you.
14051,So I lose none
14052,"In seeking to augment it, but still keep"
14053,"My bosom franchis’d, and allegiance clear,"
14054,I shall be counsell’d.
14055,Good repose the while!
14056,"Thanks, sir: the like to you."
14057,"Go bid thy mistress, when my drink is ready,"
14058,She strike upon the bell. Get thee to bed.
14059,"Is this a dagger which I see before me,"
14060,"The handle toward my hand? Come, let me clutch thee:—"
14061,"I have thee not, and yet I see thee still."
14062,"Art thou not, fatal vision, sensible"
14063,To feeling as to sight? or art thou but
14064,"A dagger of the mind, a false creation,"
14065,Proceeding from the heat-oppressed brain?
14066,"I see thee yet, in form as palpable"
14067,As this which now I draw.
14068,Thou marshall’st me the way that I was going;
14069,And such an instrument I was to use.
14070,"Mine eyes are made the fools o’ the other senses,"
14071,Or else worth all the rest: I see thee still;
14072,"And on thy blade and dudgeon, gouts of blood,"
14073,Which was not so before.—There’s no such thing.
14074,It is the bloody business which informs
14075,Thus to mine eyes.—Now o’er the one half-world
14076,"Nature seems dead, and wicked dreams abuse"
14077,The curtain’d sleep. Witchcraft celebrates
14078,"Pale Hecate’s off’rings; and wither’d murder,"
14079,"Alarum’d by his sentinel, the wolf,"
14080,"Whose howl’s his watch, thus with his stealthy pace,"
14081,"With Tarquin’s ravishing strides, towards his design"
14082,"Moves like a ghost.—Thou sure and firm-set earth,"
14083,"Hear not my steps, which way they walk, for fear"
14084,"Thy very stones prate of my whereabout,"
14085,"And take the present horror from the time,"
14086,"Which now suits with it.—Whiles I threat, he lives."
14087,Words to the heat of deeds too cold breath gives.
14088,"I go, and it is done. The bell invites me."
14089,"Hear it not, Duncan, for it is a knell"
14090,That summons thee to heaven or to hell.
14091,SCENE II. The same.
14092,That which hath made them drunk hath made me bold:
14093,What hath quench’d them hath given me fire.—Hark!—Peace!
14094,"It was the owl that shriek’d, the fatal bellman,"
14095,Which gives the stern’st good night. He is about it.
14096,The doors are open; and the surfeited grooms
14097,"Do mock their charge with snores: I have drugg’d their possets,"
14098,"That death and nature do contend about them,"
14099,Whether they live or die.
14100,"Alack! I am afraid they have awak’d,"
14101,And ’tis not done. Th’ attempt and not the deed
14102,Confounds us.—Hark!—I laid their daggers ready;
14103,He could not miss ’em.—Had he not resembled
14104,"My father as he slept, I had done’t.—My husband!"
14105,I have done the deed.—Didst thou not hear a noise?
14106,I heard the owl scream and the crickets cry.
14107,Did not you speak?
14108,Hark!—Who lies i’ th’ second chamber?
14109,This is a sorry sight.
14110,"A foolish thought, to say a sorry sight."
14111,"There’s one did laugh in’s sleep, and one cried, “Murder!”"
14112,That they did wake each other: I stood and heard them.
14113,"But they did say their prayers, and address’d them"
14114,There are two lodg’d together.
14115,"One cried, “God bless us!” and, “Amen,” the other,"
14116,As they had seen me with these hangman’s hands.
14117,"List’ning their fear, I could not say “Amen,”"
14118,"When they did say, “God bless us.”"
14119,Consider it not so deeply.
14120,But wherefore could not I pronounce “Amen”?
14121,"I had most need of blessing, and “Amen”"
14122,Stuck in my throat.
14123,These deeds must not be thought
14124,"After these ways; so, it will make us mad."
14125,"Methought I heard a voice cry, “Sleep no more!"
14126,"Macbeth does murder sleep,”—the innocent sleep;"
14127,"Sleep that knits up the ravell’d sleave of care,"
14128,"The death of each day’s life, sore labour’s bath,"
14129,"Balm of hurt minds, great nature’s second course,"
14130,Chief nourisher in life’s feast.
14131,What do you mean?
14132,"Still it cried, “Sleep no more!” to all the house:"
14133,"“Glamis hath murder’d sleep, and therefore Cawdor"
14134,Shall sleep no more. Macbeth shall sleep no more!”
14135,"Who was it that thus cried? Why, worthy thane,"
14136,You do unbend your noble strength to think
14137,"So brainsickly of things. Go get some water,"
14138,And wash this filthy witness from your hand.—
14139,Why did you bring these daggers from the place?
14140,"They must lie there: go carry them, and smear"
14141,The sleepy grooms with blood.
14142,I’ll go no more:
14143,I am afraid to think what I have done;
14144,Look on’t again I dare not.
14145,Give me the daggers. The sleeping and the dead
14146,Are but as pictures. ’Tis the eye of childhood
14147,"That fears a painted devil. If he do bleed,"
14148,"I’ll gild the faces of the grooms withal,"
14149,For it must seem their guilt.
14150,Whence is that knocking?
14151,"How is’t with me, when every noise appals me?"
14152,"What hands are here? Ha, they pluck out mine eyes!"
14153,Will all great Neptune’s ocean wash this blood
14154,"Clean from my hand? No, this my hand will rather"
14155,"The multitudinous seas incarnadine,"
14156,Making the green one red.
14157,"My hands are of your color, but I shame"
14158,To wear a heart so white. [_Knocking within._] I hear knocking
14159,At the south entry:—retire we to our chamber.
14160,A little water clears us of this deed:
14161,How easy is it then! Your constancy
14162,"Hath left you unattended.—[_Knocking within._] Hark, more knocking."
14163,"Get on your nightgown, lest occasion call us"
14164,And show us to be watchers. Be not lost
14165,So poorly in your thoughts.
14166,"To know my deed, ’twere best not know myself. [_Knocking within._]"
14167,Wake Duncan with thy knocking! I would thou couldst!
14168,SCENE III. The same.
14169,Enter a Porter. Knocking within.
14170,"Here’s a knocking indeed! If a man were porter of hell gate, he should"
14171,"have old turning the key. [_Knocking._] Knock, knock, knock. Who’s"
14172,"there, i’ th’ name of Belzebub? Here’s a farmer that hanged himself on"
14173,the expectation of plenty: come in time; have napkins enow about you;
14174,"here you’ll sweat for’t. [_Knocking._] Knock, knock! Who’s there, i’"
14175,"th’ other devil’s name? Faith, here’s an equivocator, that could swear"
14176,"in both the scales against either scale, who committed treason enough"
14177,"for God’s sake, yet could not equivocate to heaven: O, come in,"
14178,"equivocator. [_Knocking._] Knock, knock, knock! Who’s there? Faith,"
14179,"here’s an English tailor come hither, for stealing out of a French"
14180,"hose: come in, tailor; here you may roast your goose. [_Knocking._]"
14181,"Knock, knock. Never at quiet! What are you?—But this place is too cold"
14182,for hell. I’ll devil-porter it no further: I had thought to have let in
14183,"some of all professions, that go the primrose way to th’ everlasting"
14184,"bonfire. [_Knocking._] Anon, anon! I pray you, remember the porter."
14185,Enter Macduff and Lennox.
14186,"Was it so late, friend, ere you went to bed,"
14187,That you do lie so late?
14188,"Faith, sir, we were carousing till the second cock; and drink, sir, is"
14189,a great provoker of three things.
14190,What three things does drink especially provoke?
14191,"Marry, sir, nose-painting, sleep, and urine. Lechery, sir, it provokes"
14192,"and unprovokes; it provokes the desire, but it takes away the"
14193,performance. Therefore much drink may be said to be an equivocator with
14194,"lechery: it makes him, and it mars him; it sets him on, and it takes"
14195,"him off; it persuades him, and disheartens him; makes him stand to, and"
14196,"not stand to; in conclusion, equivocates him in a sleep, and giving him"
14197,"the lie, leaves him."
14198,I believe drink gave thee the lie last night.
14199,"That it did, sir, i’ the very throat on me; but I requited him for his"
14200,"lie; and (I think) being too strong for him, though he took up my legs"
14201,"sometime, yet I made a shift to cast him."
14202,Is thy master stirring?
14203,Our knocking has awak’d him; here he comes.
14204,"Good morrow, noble sir!"
14205,"Is the King stirring, worthy thane?"
14206,He did command me to call timely on him.
14207,I have almost slipp’d the hour.
14208,I’ll bring you to him.
14209,I know this is a joyful trouble to you;
14210,But yet ’tis one.
14211,The labour we delight in physics pain.
14212,This is the door.
14213,I’ll make so bold to call.
14214,For ’tis my limited service.
14215,Goes the King hence today?
14216,He does. He did appoint so.
14217,"The night has been unruly: where we lay,"
14218,"Our chimneys were blown down and, as they say,"
14219,"Lamentings heard i’ th’ air, strange screams of death,"
14220,"And prophesying, with accents terrible,"
14221,"Of dire combustion and confus’d events,"
14222,New hatch’d to the woeful time. The obscure bird
14223,Clamour’d the live-long night. Some say the earth
14224,"Was feverous, and did shake."
14225,’Twas a rough night.
14226,My young remembrance cannot parallel
14227,A fellow to it.
14228,"O horror, horror, horror!"
14229,Tongue nor heart cannot conceive nor name thee!
14230,Confusion now hath made his masterpiece!
14231,Most sacrilegious murder hath broke ope
14232,"The Lord’s anointed temple, and stole thence"
14233,The life o’ th’ building.
14234,What is’t you say? the life?
14235,Mean you his majesty?
14236,"Approach the chamber, and destroy your sight"
14237,With a new Gorgon. Do not bid me speak.
14238,"See, and then speak yourselves."
14239,Ring the alarum bell.—Murder and treason!
14240,Banquo and Donalbain! Malcolm! awake!
14241,"Shake off this downy sleep, death’s counterfeit,"
14242,"And look on death itself! Up, up, and see"
14243,The great doom’s image. Malcolm! Banquo!
14244,"As from your graves rise up, and walk like sprites"
14245,To countenance this horror!
14246,That such a hideous trumpet calls to parley
14247,"The sleepers of the house? Speak, speak!"
14248,’Tis not for you to hear what I can speak:
14249,"The repetition, in a woman’s ear,"
14250,Would murder as it fell.
14251,Our royal master’s murder’d!
14252,"What, in our house?"
14253,"Dear Duff, I pr’ythee, contradict thyself,"
14254,And say it is not so.
14255,Enter Macbeth and Lennox with Ross.
14256,"Had I but died an hour before this chance,"
14257,"I had liv’d a blessed time; for, from this instant"
14258,There’s nothing serious in mortality.
14259,All is but toys: renown and grace is dead;
14260,"The wine of life is drawn, and the mere lees"
14261,Is left this vault to brag of.
14262,Enter Malcolm and Donalbain.
14263,"You are, and do not know’t:"
14264,"The spring, the head, the fountain of your blood"
14265,Is stopp’d; the very source of it is stopp’d.
14266,Your royal father’s murder’d.
14267,"Those of his chamber, as it seem’d, had done’t:"
14268,Their hands and faces were all badg’d with blood;
14269,"So were their daggers, which, unwip’d, we found"
14270,"Upon their pillows. They star’d, and were distracted;"
14271,No man’s life was to be trusted with them.
14272,"O, yet I do repent me of my fury,"
14273,That I did kill them.
14274,Wherefore did you so?
14275,"Who can be wise, amaz’d, temperate, and furious,"
14276,"Loyal and neutral, in a moment? No man:"
14277,Th’ expedition of my violent love
14278,"Outrun the pauser, reason. Here lay Duncan,"
14279,His silver skin lac’d with his golden blood;
14280,And his gash’d stabs look’d like a breach in nature
14281,"For ruin’s wasteful entrance: there, the murderers,"
14282,"Steep’d in the colours of their trade, their daggers"
14283,"Unmannerly breech’d with gore. Who could refrain,"
14284,"That had a heart to love, and in that heart"
14285,Courage to make’s love known?
14286,"Help me hence, ho!"
14287,Look to the lady.
14288,"Why do we hold our tongues,"
14289,That most may claim this argument for ours?
14290,"What should be spoken here, where our fate,"
14291,"Hid in an auger hole, may rush, and seize us?"
14292,Let’s away. Our tears are not yet brew’d.
14293,Nor our strong sorrow
14294,Upon the foot of motion.
14295,Look to the lady:—
14296,"And when we have our naked frailties hid,"
14297,"That suffer in exposure, let us meet,"
14298,And question this most bloody piece of work
14299,To know it further. Fears and scruples shake us:
14300,In the great hand of God I stand; and thence
14301,Against the undivulg’d pretence I fight
14302,And so do I.
14303,"Let’s briefly put on manly readiness,"
14304,And meet i’ th’ hall together.
14305,What will you do? Let’s not consort with them:
14306,To show an unfelt sorrow is an office
14307,Which the false man does easy. I’ll to England.
14308,"To Ireland, I. Our separated fortune"
14309,"Shall keep us both the safer. Where we are,"
14310,"There’s daggers in men’s smiles: the near in blood,"
14311,This murderous shaft that’s shot
14312,Hath not yet lighted; and our safest way
14313,Is to avoid the aim. Therefore to horse;
14314,"And let us not be dainty of leave-taking,"
14315,But shift away. There’s warrant in that theft
14316,"Which steals itself, when there’s no mercy left."
14317,SCENE IV. The same. Without the Castle.
14318,Enter Ross and an Old Man.
14319,"Threescore and ten I can remember well,"
14320,Within the volume of which time I have seen
14321,"Hours dreadful and things strange, but this sore night"
14322,Hath trifled former knowings.
14323,"Thou seest the heavens, as troubled with man’s act,"
14324,"Threatens his bloody stage: by the clock ’tis day,"
14325,And yet dark night strangles the travelling lamp.
14326,"Is’t night’s predominance, or the day’s shame,"
14327,"That darkness does the face of earth entomb,"
14328,When living light should kiss it?
14329,"Even like the deed that’s done. On Tuesday last,"
14330,"A falcon, towering in her pride of place,"
14331,Was by a mousing owl hawk’d at and kill’d.
14332,And Duncan’s horses (a thing most strange and certain)
14333,"Beauteous and swift, the minions of their race,"
14334,"Turn’d wild in nature, broke their stalls, flung out,"
14335,"Contending ’gainst obedience, as they would make"
14336,’Tis said they eat each other.
14337,"They did so; to the amazement of mine eyes,"
14338,Here comes the good Macduff.
14339,"How goes the world, sir, now?"
14340,"Why, see you not?"
14341,Is’t known who did this more than bloody deed?
14342,Those that Macbeth hath slain.
14343,What good could they pretend?
14344,"Malcolm and Donalbain, the King’s two sons,"
14345,Are stol’n away and fled; which puts upon them
14346,Suspicion of the deed.
14347,"Thriftless ambition, that will ravin up"
14348,Thine own life’s means!—Then ’tis most like
14349,The sovereignty will fall upon Macbeth.
14350,He is already nam’d; and gone to Scone
14351,Where is Duncan’s body?
14352,"The sacred storehouse of his predecessors,"
14353,And guardian of their bones.
14354,Will you to Scone?
14355,"No, cousin, I’ll to Fife."
14356,"Well, I will thither."
14357,"Well, may you see things well done there. Adieu!"
14358,Lest our old robes sit easier than our new!
14359,God’s benison go with you; and with those
14360,"That would make good of bad, and friends of foes!"
14361,SCENE I. Forres. A Room in the Palace.
14362,"Thou hast it now, King, Cawdor, Glamis, all,"
14363,"As the Weird Women promis’d; and, I fear,"
14364,Thou play’dst most foully for’t; yet it was said
14365,It should not stand in thy posterity;
14366,But that myself should be the root and father
14367,Of many kings. If there come truth from them
14368,"Why, by the verities on thee made good,"
14369,"May they not be my oracles as well,"
14370,And set me up in hope? But hush; no more.
14371,"Sennet sounded. Enter Macbeth as King, Lady Macbeth as Queen; Lennox,"
14372,"Ross, Lords, and Attendants."
14373,Here’s our chief guest.
14374,"If he had been forgotten,"
14375,"It had been as a gap in our great feast,"
14376,"Tonight we hold a solemn supper, sir,"
14377,And I’ll request your presence.
14378,"Command upon me, to the which my duties"
14379,Are with a most indissoluble tie
14380,Ride you this afternoon?
14381,"Ay, my good lord."
14382,We should have else desir’d your good advice
14383,In this day’s council; but we’ll take tomorrow.
14384,Is’t far you ride?
14385,"As far, my lord, as will fill up the time"
14386,"’Twixt this and supper: go not my horse the better,"
14387,"I must become a borrower of the night,"
14388,For a dark hour or twain.
14389,Fail not our feast.
14390,"My lord, I will not."
14391,We hear our bloody cousins are bestow’d
14392,In England and in Ireland; not confessing
14393,"Their cruel parricide, filling their hearers"
14394,"With strange invention. But of that tomorrow,"
14395,When therewithal we shall have cause of state
14396,"Craving us jointly. Hie you to horse: adieu,"
14397,Till you return at night. Goes Fleance with you?
14398,"Ay, my good lord: our time does call upon’s."
14399,I wish your horses swift and sure of foot;
14400,And so I do commend you to their backs.
14401,Let every man be master of his time
14402,Till seven at night; to make society
14403,"The sweeter welcome, we will keep ourself"
14404,"Till supper time alone: while then, God be with you."
14405,"Sirrah, a word with you. Attend those men"
14406,"They are, my lord, without the palace gate."
14407,Bring them before us.
14408,"To be thus is nothing,"
14409,But to be safely thus. Our fears in Banquo
14410,"Stick deep, and in his royalty of nature"
14411,Reigns that which would be fear’d: ’tis much he dares;
14412,"And, to that dauntless temper of his mind,"
14413,He hath a wisdom that doth guide his valour
14414,To act in safety. There is none but he
14415,Whose being I do fear: and under him
14416,"My genius is rebuk’d; as, it is said,"
14417,Mark Antony’s was by Caesar. He chid the sisters
14418,"When first they put the name of king upon me,"
14419,"And bade them speak to him; then, prophet-like,"
14420,They hail’d him father to a line of kings:
14421,"Upon my head they plac’d a fruitless crown,"
14422,"And put a barren sceptre in my gripe,"
14423,"Thence to be wrench’d with an unlineal hand,"
14424,"No son of mine succeeding. If’t be so,"
14425,For Banquo’s issue have I fil’d my mind;
14426,For them the gracious Duncan have I murder’d;
14427,Put rancours in the vessel of my peace
14428,Only for them; and mine eternal jewel
14429,"Given to the common enemy of man,"
14430,"To make them kings, the seed of Banquo kings!"
14431,"Rather than so, come, fate, into the list,"
14432,And champion me to th’ utterance!—Who’s there?—
14433,Enter Servant with two Murderers.
14434,"Now go to the door, and stay there till we call."
14435,Was it not yesterday we spoke together?
14436,"It was, so please your Highness."
14437,Have you consider’d of my speeches? Know
14438,"That it was he, in the times past, which held you"
14439,"So under fortune, which you thought had been"
14440,Our innocent self? This I made good to you
14441,"In our last conference, pass’d in probation with you"
14442,"How you were borne in hand, how cross’d, the instruments,"
14443,"Who wrought with them, and all things else that might"
14444,To half a soul and to a notion craz’d
14445,"Say, “Thus did Banquo.”"
14446,You made it known to us.
14447,"I did so; and went further, which is now"
14448,Our point of second meeting. Do you find
14449,"Your patience so predominant in your nature,"
14450,"That you can let this go? Are you so gospell’d,"
14451,"To pray for this good man and for his issue,"
14452,"Whose heavy hand hath bow’d you to the grave,"
14453,And beggar’d yours forever?
14454,"We are men, my liege."
14455,"Ay, in the catalogue ye go for men;"
14456,"As hounds, and greyhounds, mongrels, spaniels, curs,"
14457,"Shoughs, water-rugs, and demi-wolves are clept"
14458,All by the name of dogs: the valu’d file
14459,"Distinguishes the swift, the slow, the subtle,"
14460,"The housekeeper, the hunter, every one"
14461,According to the gift which bounteous nature
14462,Hath in him clos’d; whereby he does receive
14463,"Particular addition, from the bill"
14464,That writes them all alike: and so of men.
14465,"Now, if you have a station in the file,"
14466,"Not i’ th’ worst rank of manhood, say’t;"
14467,"And I will put that business in your bosoms,"
14468,"Whose execution takes your enemy off,"
14469,"Grapples you to the heart and love of us,"
14470,"Who wear our health but sickly in his life,"
14471,Which in his death were perfect.
14472,"I am one, my liege,"
14473,Whom the vile blows and buffets of the world
14474,Hath so incens’d that I am reckless what
14475,I do to spite the world.
14476,"So weary with disasters, tugg’d with fortune,"
14477,"That I would set my life on any chance,"
14478,To mend it or be rid on’t.
14479,Know Banquo was your enemy.
14480,"So is he mine; and in such bloody distance,"
14481,That every minute of his being thrusts
14482,Against my near’st of life; and though I could
14483,"With barefac’d power sweep him from my sight,"
14484,"And bid my will avouch it, yet I must not,"
14485,"For certain friends that are both his and mine,"
14486,"Whose loves I may not drop, but wail his fall"
14487,Who I myself struck down: and thence it is
14488,"That I to your assistance do make love,"
14489,Masking the business from the common eye
14490,For sundry weighty reasons.
14491,"We shall, my lord,"
14492,Perform what you command us.
14493,"Your spirits shine through you. Within this hour at most,"
14494,"I will advise you where to plant yourselves,"
14495,"Acquaint you with the perfect spy o’ th’ time,"
14496,The moment on’t; for’t must be done tonight
14497,And something from the palace; always thought
14498,That I require a clearness. And with him
14499,"Fleance his son, that keeps him company,"
14500,Whose absence is no less material to me
14501,"Than is his father’s, must embrace the fate"
14502,Of that dark hour. Resolve yourselves apart.
14503,I’ll come to you anon.
14504,"We are resolv’d, my lord."
14505,I’ll call upon you straight: abide within.
14506,"It is concluded. Banquo, thy soul’s flight,"
14507,"If it find heaven, must find it out tonight."
14508,SCENE II. The same. Another Room in the Palace.
14509,Enter Lady Macbeth and a Servant.
14510,Is Banquo gone from court?
14511,"Ay, madam, but returns again tonight."
14512,"Say to the King, I would attend his leisure"
14513,For a few words.
14514,"Naught’s had, all’s spent,"
14515,Where our desire is got without content:
14516,"’Tis safer to be that which we destroy,"
14517,Than by destruction dwell in doubtful joy.
14518,"How now, my lord, why do you keep alone,"
14519,"Of sorriest fancies your companions making,"
14520,Using those thoughts which should indeed have died
14521,With them they think on? Things without all remedy
14522,Should be without regard: what’s done is done.
14523,"We have scorch’d the snake, not kill’d it."
14524,"She’ll close, and be herself; whilst our poor malice"
14525,Remains in danger of her former tooth.
14526,"But let the frame of things disjoint,"
14527,"Both the worlds suffer,"
14528,"Ere we will eat our meal in fear, and sleep"
14529,In the affliction of these terrible dreams
14530,"That shake us nightly. Better be with the dead,"
14531,"Whom we, to gain our peace, have sent to peace,"
14532,Than on the torture of the mind to lie
14533,In restless ecstasy. Duncan is in his grave;
14534,After life’s fitful fever he sleeps well;
14535,"Treason has done his worst: nor steel, nor poison,"
14536,"Malice domestic, foreign levy, nothing"
14537,Can touch him further.
14538,"Gently my lord, sleek o’er your rugged looks;"
14539,Be bright and jovial among your guests tonight.
14540,"So shall I, love; and so, I pray, be you."
14541,Let your remembrance apply to Banquo;
14542,"Present him eminence, both with eye and tongue:"
14543,"Unsafe the while, that we"
14544,"Must lave our honours in these flattering streams,"
14545,"And make our faces vizards to our hearts,"
14546,Disguising what they are.
14547,You must leave this.
14548,"O, full of scorpions is my mind, dear wife!"
14549,"Thou know’st that Banquo, and his Fleance, lives."
14550,But in them nature’s copy’s not eterne.
14551,There’s comfort yet; they are assailable.
14552,Then be thou jocund. Ere the bat hath flown
14553,"His cloister’d flight, ere to black Hecate’s summons"
14554,"The shard-born beetle, with his drowsy hums,"
14555,"Hath rung night’s yawning peal, there shall be done"
14556,A deed of dreadful note.
14557,What’s to be done?
14558,"Be innocent of the knowledge, dearest chuck,"
14559,"Till thou applaud the deed. Come, seeling night,"
14560,"Scarf up the tender eye of pitiful day,"
14561,And with thy bloody and invisible hand
14562,Cancel and tear to pieces that great bond
14563,Which keeps me pale!—Light thickens; and the crow
14564,Makes wing to th’ rooky wood.
14565,"Good things of day begin to droop and drowse,"
14566,Whiles night’s black agents to their preys do rouse.
14567,Thou marvell’st at my words: but hold thee still;
14568,Things bad begun make strong themselves by ill.
14569,"So, pr’ythee, go with me."
14570,"SCENE III. The same. A Park or Lawn, with a gate leading to the Palace."
14571,But who did bid thee join with us?
14572,He needs not our mistrust; since he delivers
14573,Our offices and what we have to do
14574,To the direction just.
14575,Then stand with us.
14576,The west yet glimmers with some streaks of day.
14577,"Now spurs the lated traveller apace,"
14578,To gain the timely inn; and near approaches
14579,The subject of our watch.
14580,Hark! I hear horses.
14581,Then ’tis he; the rest
14582,That are within the note of expectation
14583,Already are i’ th’ court.
14584,His horses go about.
14585,"Almost a mile; but he does usually,"
14586,"So all men do, from hence to the palace gate"
14587,Make it their walk.
14588,Enter Banquo and Fleance with a torch.
14589,"A light, a light!"
14590,It will be rain tonight.
14591,Let it come down.
14592,"O, treachery! Fly, good Fleance, fly, fly, fly!"
14593,Thou mayst revenge—O slave!
14594,Who did strike out the light?
14595,Was’t not the way?
14596,There’s but one down: the son is fled.
14597,We have lost best half of our affair.
14598,"Well, let’s away, and say how much is done."
14599,SCENE IV. The same. A Room of state in the Palace.
14600,"A banquet prepared. Enter Macbeth, Lady Macbeth, Ross, Lennox, Lords"
14601,"You know your own degrees, sit down. At first"
14602,And last the hearty welcome.
14603,Thanks to your Majesty.
14604,"Ourself will mingle with society,"
14605,And play the humble host.
14606,"Our hostess keeps her state; but, in best time,"
14607,We will require her welcome.
14608,"Pronounce it for me, sir, to all our friends;"
14609,For my heart speaks they are welcome.
14610,Enter first Murderer to the door.
14611,"See, they encounter thee with their hearts’ thanks."
14612,Both sides are even: here I’ll sit i’ th’ midst.
14613,Be large in mirth; anon we’ll drink a measure
14614,The table round. There’s blood upon thy face.
14615,’Tis better thee without than he within.
14616,"My lord, his throat is cut. That I did for him."
14617,Thou art the best o’ th’ cut-throats;
14618,Yet he’s good that did the like for Fleance:
14619,"If thou didst it, thou art the nonpareil."
14620,Then comes my fit again: I had else been perfect;
14621,"Whole as the marble, founded as the rock,"
14622,As broad and general as the casing air:
14623,"But now I am cabin’d, cribb’d, confin’d, bound in"
14624,To saucy doubts and fears. But Banquo’s safe?
14625,"Ay, my good lord. Safe in a ditch he bides,"
14626,With twenty trenched gashes on his head;
14627,The least a death to nature.
14628,There the grown serpent lies; the worm that’s fled
14629,"Hath nature that in time will venom breed,"
14630,No teeth for th’ present.—Get thee gone; tomorrow
14631,"We’ll hear, ourselves, again."
14632,You do not give the cheer: the feast is sold
14633,"That is not often vouch’d, while ’tis a-making,"
14634,’Tis given with welcome. To feed were best at home;
14635,From thence the sauce to meat is ceremony;
14636,Meeting were bare without it.
14637,"The Ghost of Banquo rises, and sits in Macbeth’s place."
14638,"Now, good digestion wait on appetite,"
14639,And health on both!
14640,May’t please your Highness sit.
14641,"Here had we now our country’s honour roof’d,"
14642,Were the grac’d person of our Banquo present;
14643,Who may I rather challenge for unkindness
14644,Than pity for mischance!
14645,Lays blame upon his promise. Please’t your Highness
14646,To grace us with your royal company?
14647,"Here is a place reserv’d, sir."
14648,"Here, my good lord. What is’t that moves your Highness?"
14649,Which of you have done this?
14650,"What, my good lord?"
14651,Thou canst not say I did it. Never shake
14652,Thy gory locks at me.
14653,"Gentlemen, rise; his Highness is not well."
14654,"Sit, worthy friends. My lord is often thus,"
14655,"And hath been from his youth: pray you, keep seat;"
14656,The fit is momentary; upon a thought
14657,"He will again be well. If much you note him,"
