line_number,sonnet_line
1425,"Than when her mournful hymns did hush the night,"
1426,"But that wild music burthens every bough,"
1427,And sweets grown common lose their dear delight.
1428,"Therefore like her, I sometime hold my tongue:"
1429,Because I would not dull you with my song.
1430,"Alack! what poverty my Muse brings forth,"
1431,"That having such a scope to show her pride,"
1432,"The argument, all bare, is of more worth"
1433,Than when it hath my added praise beside!
1434,"O! blame me not, if I no more can write!"
1435,"Look in your glass, and there appears a face"
1436,"That over-goes my blunt invention quite,"
1437,"Dulling my lines, and doing me disgrace."
1438,"Were it not sinful then, striving to mend,"
1439,To mar the subject that before was well?
1440,For to no other pass my verses tend
1441,Than of your graces and your gifts to tell;
1442,"And more, much more, than in my verse can sit,"
1443,Your own glass shows you when you look in it.
1444,"To me, fair friend, you never can be old,"
1445,"For as you were when first your eye I ey’d,"
1446,"Such seems your beauty still. Three winters cold,"
1447,"Have from the forests shook three summers’ pride,"
1448,"Three beauteous springs to yellow autumn turn’d,"
1449,"In process of the seasons have I seen,"
1450,"Three April perfumes in three hot Junes burn’d,"
1451,"Since first I saw you fresh, which yet are green."
1452,"Ah! yet doth beauty like a dial-hand,"
1453,"Steal from his figure, and no pace perceiv’d;"
1454,"So your sweet hue, which methinks still doth stand,"
1455,"Hath motion, and mine eye may be deceiv’d:"
1456,"For fear of which, hear this thou age unbred:"
1457,Ere you were born was beauty’s summer dead.
1458,"Let not my love be call’d idolatry,"
1459,"Nor my beloved as an idol show,"
1460,Since all alike my songs and praises be
1461,"To one, of one, still such, and ever so."
1462,"Kind is my love to-day, to-morrow kind,"
1463,Still constant in a wondrous excellence;
1464,"Therefore my verse to constancy confin’d,"
1465,"One thing expressing, leaves out difference."
1466,"‘Fair, kind, and true,’ is all my argument,"
1467,"‘Fair, kind, and true,’ varying to other words;"
1468,"And in this change is my invention spent,"
1469,"Three themes in one, which wondrous scope affords."
1470,"Fair, kind, and true, have often liv’d alone,"
1471,"Which three till now, never kept seat in one."
1472,When in the chronicle of wasted time
1473,"I see descriptions of the fairest wights,"
1474,"And beauty making beautiful old rime,"
1475,"In praise of ladies dead and lovely knights,"
1476,"Then, in the blazon of sweet beauty’s best,"
1477,"Of hand, of foot, of lip, of eye, of brow,"
1478,I see their antique pen would have express’d
1479,Even such a beauty as you master now.
1480,So all their praises are but prophecies
1481,"Of this our time, all you prefiguring;"
1482,"And for they looked but with divining eyes,"
1483,They had not skill enough your worth to sing:
1484,"For we, which now behold these present days,"
1485,"Have eyes to wonder, but lack tongues to praise."
1486,"Not mine own fears, nor the prophetic soul"
1487,"Of the wide world dreaming on things to come,"
1488,"Can yet the lease of my true love control,"
1489,Supposed as forfeit to a confin’d doom.
1490,"The mortal moon hath her eclipse endur’d,"
1491,And the sad augurs mock their own presage;
1492,"Incertainties now crown themselves assur’d,"
1493,And peace proclaims olives of endless age.
1494,"Now with the drops of this most balmy time,"
1495,"My love looks fresh, and Death to me subscribes,"
1496,"Since, spite of him, I’ll live in this poor rime,"
1497,While he insults o’er dull and speechless tribes:
1498,"And thou in this shalt find thy monument,"
1499,When tyrants’ crests and tombs of brass are spent.
1500,"What’s in the brain, that ink may character,"
1501,Which hath not figur’d to thee my true spirit?
1502,"What’s new to speak, what now to register,"
1503,"That may express my love, or thy dear merit?"
1504,"Nothing, sweet boy; but yet, like prayers divine,"
1505,I must each day say o’er the very same;
1506,"Counting no old thing old, thou mine, I thine,"
1507,Even as when first I hallow’d thy fair name.
1508,"So that eternal love in love’s fresh case,"
1509,"Weighs not the dust and injury of age,"
1510,"Nor gives to necessary wrinkles place,"
1511,But makes antiquity for aye his page;
1512,"Finding the first conceit of love there bred,"
1513,Where time and outward form would show it dead.
1514,"O! never say that I was false of heart,"
1515,"Though absence seem’d my flame to qualify,"
1516,As easy might I from my self depart
1517,As from my soul which in thy breast doth lie:
1518,"That is my home of love: if I have rang’d,"
1519,"Like him that travels, I return again;"
1520,"Just to the time, not with the time exchang’d,"
1521,So that myself bring water for my stain.
1522,"Never believe though in my nature reign’d,"
1523,"All frailties that besiege all kinds of blood,"
1524,"That it could so preposterously be stain’d,"
1525,To leave for nothing all thy sum of good;
1526,"For nothing this wide universe I call,"
1527,"Save thou, my rose, in it thou art my all."
1528,"Alas! ’tis true, I have gone here and there,"
1529,"And made my self a motley to the view,"
1530,"Gor’d mine own thoughts, sold cheap what is most dear,"
1531,Made old offences of affections new;
1532,"Most true it is, that I have look’d on truth"
1533,"Askance and strangely; but, by all above,"
1534,"These blenches gave my heart another youth,"
1535,And worse essays prov’d thee my best of love.
1536,"Now all is done, save what shall have no end:"
1537,Mine appetite I never more will grind
1538,"On newer proof, to try an older friend,"
1539,"A god in love, to whom I am confin’d."
1540,"Then give me welcome, next my heaven the best,"
1541,Even to thy pure and most most loving breast.
1542,"O! for my sake do you with Fortune chide,"
1543,"The guilty goddess of my harmful deeds,"
1544,That did not better for my life provide
1545,Than public means which public manners breeds.
1546,"Thence comes it that my name receives a brand,"
1547,And almost thence my nature is subdu’d
1548,"To what it works in, like the dyer’s hand:"
1549,"Pity me, then, and wish I were renew’d;"
1550,"Whilst, like a willing patient, I will drink,"
1551,Potions of eisel ’gainst my strong infection;
1552,"No bitterness that I will bitter think,"
1553,"Nor double penance, to correct correction."
1554,"Pity me then, dear friend, and I assure ye,"
1555,Even that your pity is enough to cure me.
1556,"Your love and pity doth the impression fill,"
1557,Which vulgar scandal stamp’d upon my brow;
1558,"For what care I who calls me well or ill,"
1559,"So you o’er-green my bad, my good allow?"
1560,"You are my all-the-world, and I must strive"
1561,To know my shames and praises from your tongue;
1562,"None else to me, nor I to none alive,"
1563,That my steel’d sense or changes right or wrong.
1564,In so profound abysm I throw all care
1565,"Of others’ voices, that my adder’s sense"
1566,To critic and to flatterer stopped are.
1567,Mark how with my neglect I do dispense:
1568,"You are so strongly in my purpose bred,"
1569,That all the world besides methinks are dead.
1570,"Since I left you, mine eye is in my mind;"
1571,And that which governs me to go about
1572,"Doth part his function and is partly blind,"
1573,"Seems seeing, but effectually is out;"
1574,For it no form delivers to the heart
1575,"Of bird, of flower, or shape which it doth latch:"
1576,"Of his quick objects hath the mind no part,"
1577,Nor his own vision holds what it doth catch;
1578,"For if it see the rud’st or gentlest sight,"
1579,"The most sweet favour or deformed’st creature,"
1580,"The mountain or the sea, the day or night:"
1581,"The crow, or dove, it shapes them to your feature."
1582,"Incapable of more, replete with you,"
1583,My most true mind thus maketh mine untrue.
1584,"Or whether doth my mind, being crown’d with you,"
1585,"Drink up the monarch’s plague, this flattery?"
1586,"Or whether shall I say, mine eye saith true,"
1587,"And that your love taught it this alchemy,"
1588,To make of monsters and things indigest
1589,"Such cherubins as your sweet self resemble,"
1590,"Creating every bad a perfect best,"
1591,As fast as objects to his beams assemble?
1592,"O! ’tis the first, ’tis flattery in my seeing,"
1593,And my great mind most kingly drinks it up:
1594,"Mine eye well knows what with his gust is ’greeing,"
1595,And to his palate doth prepare the cup:
1596,"If it be poison’d, ’tis the lesser sin"
1597,That mine eye loves it and doth first begin.
1598,"Those lines that I before have writ do lie,"
1599,Even those that said I could not love you dearer:
1600,Yet then my judgement knew no reason why
1601,My most full flame should afterwards burn clearer.
1602,"But reckoning Time, whose million’d accidents"
1603,"Creep in ’twixt vows, and change decrees of kings,"
1604,"Tan sacred beauty, blunt the sharp’st intents,"
1605,Divert strong minds to the course of altering things;
1606,"Alas! why fearing of Time’s tyranny,"
1607,"Might I not then say, ‘Now I love you best,’"
1608,"When I was certain o’er incertainty,"
1609,"Crowning the present, doubting of the rest?"
1610,"Love is a babe, then might I not say so,"
1611,To give full growth to that which still doth grow?
1612,Let me not to the marriage of true minds
1613,Admit impediments. Love is not love
1614,"Which alters when it alteration finds,"
1615,Or bends with the remover to remove:
1616,"O, no! it is an ever-fixed mark,"
1617,That looks on tempests and is never shaken;
1618,"It is the star to every wandering bark,"
1619,"Whose worth’s unknown, although his height be taken."
1620,"Love’s not Time’s fool, though rosy lips and cheeks"
1621,Within his bending sickle’s compass come;
1622,"Love alters not with his brief hours and weeks,"
1623,But bears it out even to the edge of doom.
1624,"If this be error and upon me prov’d,"
1625,"I never writ, nor no man ever lov’d."
1626,"Accuse me thus: that I have scanted all,"
1627,"Wherein I should your great deserts repay,"
1628,"Forgot upon your dearest love to call,"
1629,Whereto all bonds do tie me day by day;
1630,"That I have frequent been with unknown minds,"
1631,And given to time your own dear-purchas’d right;
1632,That I have hoisted sail to all the winds
1633,Which should transport me farthest from your sight.
1634,"Book both my wilfulness and errors down,"
1635,"And on just proof surmise, accumulate;"
1636,"Bring me within the level of your frown,"
1637,But shoot not at me in your waken’d hate;
1638,Since my appeal says I did strive to prove
1639,The constancy and virtue of your love.
1640,"Like as, to make our appetite more keen,"
1641,With eager compounds we our palate urge;
1642,"As, to prevent our maladies unseen,"
1643,We sicken to shun sickness when we purge;
1644,"Even so, being full of your ne’er-cloying sweetness,"
1645,To bitter sauces did I frame my feeding;
1646,"And, sick of welfare, found a kind of meetness"
1647,"To be diseas’d, ere that there was true needing."
1648,"Thus policy in love, to anticipate"
1649,"The ills that were not, grew to faults assur’d,"
1650,And brought to medicine a healthful state
1651,"Which, rank of goodness, would by ill be cur’d;"
1652,"But thence I learn and find the lesson true,"
1653,Drugs poison him that so fell sick of you.
1654,"What potions have I drunk of Siren tears,"
1655,"Distill’d from limbecks foul as hell within,"
1656,"Applying fears to hopes, and hopes to fears,"
1657,Still losing when I saw myself to win!
1658,"What wretched errors hath my heart committed,"
1659,Whilst it hath thought itself so blessed never!
1660,"How have mine eyes out of their spheres been fitted,"
1661,In the distraction of this madding fever!
1662,O benefit of ill! now I find true
1663,"That better is, by evil still made better;"
1664,"And ruin’d love, when it is built anew,"
1665,"Grows fairer than at first, more strong, far greater."
1666,"So I return rebuk’d to my content,"
1667,And gain by ill thrice more than I have spent.
1668,"That you were once unkind befriends me now,"
1669,"And for that sorrow, which I then did feel,"
1670,"Needs must I under my transgression bow,"
1671,Unless my nerves were brass or hammer’d steel.
1672,"For if you were by my unkindness shaken,"
1673,"As I by yours, you’ve pass’d a hell of time;"
1674,"And I, a tyrant, have no leisure taken"
1675,To weigh how once I suffer’d in your crime.
1676,O! that our night of woe might have remember’d
1677,"My deepest sense, how hard true sorrow hits,"
1678,"And soon to you, as you to me, then tender’d"
1679,"The humble salve, which wounded bosoms fits!"
1680,But that your trespass now becomes a fee;
1681,"Mine ransoms yours, and yours must ransom me."
1682,"’Tis better to be vile than vile esteem’d,"
1683,When not to be receives reproach of being;
1684,"And the just pleasure lost, which is so deem’d"
1685,"Not by our feeling, but by others’ seeing:"
1686,For why should others’ false adulterate eyes
1687,Give salutation to my sportive blood?
1688,"Or on my frailties why are frailer spies,"
1689,Which in their wills count bad what I think good?
1690,"No, I am that I am, and they that level"
1691,At my abuses reckon up their own:
1692,I may be straight though they themselves be bevel;
1693,"By their rank thoughts, my deeds must not be shown;"
1694,"Unless this general evil they maintain,"
1695,All men are bad and in their badness reign.
1696,"Thy gift, thy tables, are within my brain"
1697,"Full character’d with lasting memory,"
1698,"Which shall above that idle rank remain,"
1699,Beyond all date; even to eternity:
1700,"Or, at the least, so long as brain and heart"
1701,Have faculty by nature to subsist;
1702,Till each to raz’d oblivion yield his part
1703,"Of thee, thy record never can be miss’d."
1704,"That poor retention could not so much hold,"
1705,Nor need I tallies thy dear love to score;
1706,"Therefore to give them from me was I bold,"
1707,To trust those tables that receive thee more:
1708,To keep an adjunct to remember thee
1709,Were to import forgetfulness in me.
1710,"No, Time, thou shalt not boast that I do change:"
1711,Thy pyramids built up with newer might
1712,"To me are nothing novel, nothing strange;"
1713,They are but dressings of a former sight.
1714,"Our dates are brief, and therefore we admire"
1715,What thou dost foist upon us that is old;
1716,And rather make them born to our desire
1717,Than think that we before have heard them told.
1718,"Thy registers and thee I both defy,"
1719,"Not wondering at the present nor the past,"
1720,"For thy records and what we see doth lie,"
1721,Made more or less by thy continual haste.
1722,This I do vow and this shall ever be;
1723,I will be true despite thy scythe and thee.
1724,"If my dear love were but the child of state,"
1725,"It might for Fortune’s bastard be unfather’d,"
1726,"As subject to Time’s love or to Time’s hate,"
1727,"Weeds among weeds, or flowers with flowers gather’d."
1728,"No, it was builded far from accident;"
1729,"It suffers not in smiling pomp, nor falls"
1730,"Under the blow of thralled discontent,"
1731,Whereto th’ inviting time our fashion calls:
1732,"It fears not policy, that heretic,"
1733,"Which works on leases of short-number’d hours,"
1734,"But all alone stands hugely politic,"
1735,"That it nor grows with heat, nor drowns with showers."
1736,"To this I witness call the fools of time,"
1737,"Which die for goodness, who have lived for crime."
1738,"Were’t aught to me I bore the canopy,"
1739,"With my extern the outward honouring,"
1740,"Or laid great bases for eternity,"
1741,Which proves more short than waste or ruining?
1742,Have I not seen dwellers on form and favour
1743,Lose all and more by paying too much rent
1744,"For compound sweet; forgoing simple savour,"
1745,"Pitiful thrivers, in their gazing spent?"
1746,"No; let me be obsequious in thy heart,"
1747,"And take thou my oblation, poor but free,"
1748,"Which is not mix’d with seconds, knows no art,"
1749,"But mutual render, only me for thee."
1750,"Hence, thou suborned informer! a true soul"
1751,"When most impeach’d, stands least in thy control."
1752,"O thou, my lovely boy, who in thy power"
1753,"Dost hold Time’s fickle glass, his fickle hour;"
1754,"Who hast by waning grown, and therein show’st"
1755,"Thy lovers withering, as thy sweet self grow’st."
1756,"If Nature, sovereign mistress over wrack,"
1757,"As thou goest onwards, still will pluck thee back,"
1758,"She keeps thee to this purpose, that her skill"
1759,May time disgrace and wretched minutes kill.
1760,"Yet fear her, O thou minion of her pleasure!"
1761,"She may detain, but not still keep, her treasure:"
1762,"Her audit  answered must be,"
1763,And her quietus is to render thee.
1764,"In the old age black was not counted fair,"
1765,"Or if it were, it bore not beauty’s name;"
1766,"But now is black beauty’s successive heir,"
1767,And beauty slander’d with a bastard shame:
1768,"For since each hand hath put on Nature’s power,"
1769,"Fairing the foul with Art’s false borrowed face,"
1770,"Sweet beauty hath no name, no holy bower,"
1771,"But is profan’d, if not lives in disgrace."
1772,"Therefore my mistress’ eyes are raven black,"
1773,"Her eyes so suited, and they mourners seem"
1774,"At such who, not born fair, no beauty lack,"
1775,Sland’ring creation with a false esteem:
1776,"Yet so they mourn becoming of their woe,"
1777,That every tongue says beauty should look so.
1778,"How oft when thou, my music, music play’st,"
1779,Upon that blessed wood whose motion sounds
1780,With thy sweet fingers when thou gently sway’st
1781,"The wiry concord that mine ear confounds,"
1782,"Do I envy those jacks that nimble leap,"
1783,"To kiss the tender inward of thy hand,"
1784,"Whilst my poor lips which should that harvest reap,"
1785,At the wood’s boldness by thee blushing stand!
1786,"To be so tickled, they would change their state"
1787,"And situation with those dancing chips,"
1788,"O’er whom thy fingers walk with gentle gait,"
1789,Making dead wood more bless’d than living lips.
1790,"Since saucy jacks so happy are in this,"
1791,"Give them thy fingers, me thy lips to kiss."
1792,The expense of spirit in a waste of shame
1793,"Is lust in action: and till action, lust"
1794,"Is perjur’d, murderous, bloody, full of blame,"
1795,"Savage, extreme, rude, cruel, not to trust;"
1796,Enjoy’d no sooner but despised straight;
1797,"Past reason hunted; and no sooner had,"
1798,"Past reason hated, as a swallow’d bait,"
1799,On purpose laid to make the taker mad:
1800,Mad in pursuit and in possession so;
1801,"Had, having, and in quest, to have extreme;"
1802,"A bliss in proof, and proved, a very woe;"
1803,"Before, a joy propos’d; behind a dream."
1804,All this the world well knows; yet none knows well
1805,To shun the heaven that leads men to this hell.
1806,My mistress’ eyes are nothing like the sun;
1807,"Coral is far more red, than her lips red:"
1808,"If snow be white, why then her breasts are dun;"
1809,"If hairs be wires, black wires grow on her head."
1810,"I have seen roses damask’d, red and white,"
1811,But no such roses see I in her cheeks;
1812,And in some perfumes is there more delight
1813,Than in the breath that from my mistress reeks.
1814,"I love to hear her speak, yet well I know"
1815,That music hath a far more pleasing sound:
1816,I grant I never saw a goddess go;
1817,"My mistress, when she walks, treads on the ground:"
1818,"And yet by heaven, I think my love as rare,"
1819,As any she belied with false compare.
1820,"Thou art as tyrannous, so as thou art,"
1821,As those whose beauties proudly make them cruel;
1822,For well thou know’st to my dear doting heart
1823,Thou art the fairest and most precious jewel.
1824,"Yet, in good faith, some say that thee behold,"
1825,Thy face hath not the power to make love groan;
1826,"To say they err I dare not be so bold,"
1827,Although I swear it to myself alone.
1828,"And to be sure that is not false I swear,"
1829,"A thousand groans, but thinking on thy face,"
1830,"One on another’s neck, do witness bear"
1831,Thy black is fairest in my judgement’s place.
1832,"In nothing art thou black save in thy deeds,"
1833,"And thence this slander, as I think, proceeds."
1834,"Thine eyes I love, and they, as pitying me,"
1835,"Knowing thy heart torment me with disdain,"
1836,"Have put on black and loving mourners be,"
1837,Looking with pretty ruth upon my pain.
1838,And truly not the morning sun of heaven
1839,"Better becomes the grey cheeks of the east,"
1840,"Nor that full star that ushers in the even,"
1841,"Doth half that glory to the sober west,"
1842,As those two mourning eyes become thy face:
1843,O! let it then as well beseem thy heart
1844,"To mourn for me since mourning doth thee grace,"
1845,And suit thy pity like in every part.
1846,"Then will I swear beauty herself is black,"
1847,And all they foul that thy complexion lack.
1848,Beshrew that heart that makes my heart to groan
1849,For that deep wound it gives my friend and me!
1850,"Is’t not enough to torture me alone,"
1851,But slave to slavery my sweet’st friend must be?
1852,"Me from myself thy cruel eye hath taken,"
1853,And my next self thou harder hast engross’d:
1854,"Of him, myself, and thee I am forsaken;"
1855,A torment thrice three-fold thus to be cross’d:
1856,"Prison my heart in thy steel bosom’s ward,"
1857,But then my friend’s heart let my poor heart bail;
1858,"Whoe’er keeps me, let my heart be his guard;"
1859,Thou canst not then use rigour in my jail:
1860,"And yet thou wilt; for I, being pent in thee,"
1861,"Perforce am thine, and all that is in me."
1862,"So, now I have confess’d that he is thine,"
1863,"And I my self am mortgag’d to thy will,"
1864,"Myself I’ll forfeit, so that other mine"
1865,Thou wilt restore to be my comfort still:
1866,"But thou wilt not, nor he will not be free,"
1867,"For thou art covetous, and he is kind;"
1868,"He learn’d but surety-like to write for me,"
1869,Under that bond that him as fast doth bind.
1870,"The statute of thy beauty thou wilt take,"
1871,"Thou usurer, that putt’st forth all to use,"
1872,And sue a friend came debtor for my sake;
1873,So him I lose through my unkind abuse.
1874,Him have I lost; thou hast both him and me:
1875,"He pays the whole, and yet am I not free."
1876,"Whoever hath her wish, thou hast thy ‘Will,’"
1877,"And ‘Will’ to boot, and ‘Will’ in over-plus;"
1878,"More than enough am I that vex’d thee still,"
1879,To thy sweet will making addition thus.
1880,"Wilt thou, whose will is large and spacious,"
1881,Not once vouchsafe to hide my will in thine?
1882,"Shall will in others seem right gracious,"
1883,And in my will no fair acceptance shine?
1884,"The sea, all water, yet receives rain still,"
1885,And in abundance addeth to his store;
1886,"So thou, being rich in ‘Will,’ add to thy ‘Will’"
1887,"One will of mine, to make thy large will more."
1888,Let no unkind ‘No’ fair beseechers kill;
1889,"Think all but one, and me in that one ‘Will.’"
1890,"If thy soul check thee that I come so near,"
1891,"Swear to thy blind soul that I was thy ‘Will’,"
1892,"And will, thy soul knows, is admitted there;"
1893,"Thus far for love, my love-suit, sweet, fulfil."
1894,"‘Will’, will fulfil the treasure of thy love,"
1895,"Ay, fill it full with wills, and my will one."
1896,In things of great receipt with ease we prove
1897,Among a number one is reckon’d none:
1898,"Then in the number let me pass untold,"
1899,Though in thy store’s account I one must be;
1900,"For nothing hold me, so it please thee hold"
1901,"That nothing me, a something sweet to thee:"
1902,"Make but my name thy love, and love that still,"
1903,And then thou lov’st me for my name is ‘Will.’
1904,"Thou blind fool, Love, what dost thou to mine eyes,"
1905,"That they behold, and see not what they see?"
1906,"They know what beauty is, see where it lies,"
1907,Yet what the best is take the worst to be.
1908,"If eyes, corrupt by over-partial looks,"
1909,"Be anchor’d in the bay where all men ride,"
1910,"Why of eyes’ falsehood hast thou forged hooks,"
1911,Whereto the judgement of my heart is tied?
1912,"Why should my heart think that a several plot,"
1913,Which my heart knows the wide world’s common place?
1914,"Or mine eyes, seeing this, say this is not,"
1915,To put fair truth upon so foul a face?
1916,"In things right true my heart and eyes have err’d,"
1917,And to this false plague are they now transferr’d.
1918,"When my love swears that she is made of truth,"
1919,"I do believe her though I know she lies,"
1920,"That she might think me some untutor’d youth,"
1921,Unlearned in the world’s false subtleties.
1922,"Thus vainly thinking that she thinks me young,"
1923,"Although she knows my days are past the best,"
1924,Simply I credit her false-speaking tongue:
1925,On both sides thus is simple truth suppressed:
1926,But wherefore says she not she is unjust?
1927,And wherefore say not I that I am old?
1928,"O! love’s best habit is in seeming trust,"
1929,"And age in love, loves not to have years told:"
1930,"Therefore I lie with her, and she with me,"
1931,And in our faults by lies we flatter’d be.
1932,O! call not me to justify the wrong
1933,That thy unkindness lays upon my heart;
1934,"Wound me not with thine eye, but with thy tongue:"
1935,"Use power with power, and slay me not by art,"
1936,"Tell me thou lov’st elsewhere; but in my sight,"
1937,"Dear heart, forbear to glance thine eye aside:"
1938,"What need’st thou wound with cunning, when thy might"
1939,Is more than my o’erpress’d defence can bide?
1940,Let me excuse thee: ah! my love well knows
1941,Her pretty looks have been mine enemies;
1942,"And therefore from my face she turns my foes,"
1943,That they elsewhere might dart their injuries:
1944,"Yet do not so; but since I am near slain,"
1945,"Kill me outright with looks, and rid my pain."
1946,Be wise as thou art cruel; do not press
1947,My tongue-tied patience with too much disdain;
1948,"Lest sorrow lend me words, and words express"
1949,The manner of my pity-wanting pain.
1950,"If I might teach thee wit, better it were,"
1951,"Though not to love, yet love to tell me so,"
1952,"As testy sick men, when their deaths be near,"
1953,No news but health from their physicians know.
1954,"For, if I should despair, I should grow mad,"
1955,And in my madness might speak ill of thee;
1956,"Now this ill-wresting world is grown so bad,"
1957,Mad slanderers by mad ears believed be.
1958,"That I may not be so, nor thou belied,"
1959,"Bear thine eyes straight, though thy proud heart go wide."
1960,"In faith I do not love thee with mine eyes,"
1961,For they in thee a thousand errors note;
1962,"But ’tis my heart that loves what they despise,"
1963,"Who, in despite of view, is pleased to dote."
1964,Nor are mine ears with thy tongue’s tune delighted;
1965,"Nor tender feeling, to base touches prone,"
1966,"Nor taste, nor smell, desire to be invited"
1967,To any sensual feast with thee alone:
1968,But my five wits nor my five senses can
1969,"Dissuade one foolish heart from serving thee,"
1970,"Who leaves unsway’d the likeness of a man,"
1971,Thy proud heart’s slave and vassal wretch to be:
1972,"Only my plague thus far I count my gain,"
1973,That she that makes me sin awards me pain.
1974,"Love is my sin, and thy dear virtue hate,"
1975,"Hate of my sin, grounded on sinful loving:"
1976,"O! but with mine compare thou thine own state,"
1977,And thou shalt find it merits not reproving;
1978,"Or, if it do, not from those lips of thine,"
1979,That have profan’d their scarlet ornaments
1980,"And seal’d false bonds of love as oft as mine,"
1981,Robb’d others’ beds’ revenues of their rents.
1982,"Be it lawful I love thee, as thou lov’st those"
1983,Whom thine eyes woo as mine importune thee:
1984,"Root pity in thy heart, that, when it grows,"
1985,Thy pity may deserve to pitied be.
1986,"If thou dost seek to have what thou dost hide,"
1987,By self-example mayst thou be denied!
1988,"Lo, as a careful housewife runs to catch"
1989,"One of her feather’d creatures broke away,"
1990,"Sets down her babe, and makes all swift dispatch"
1991,In pursuit of the thing she would have stay;
1992,"Whilst her neglected child holds her in chase,"
1993,Cries to catch her whose busy care is bent
1994,"To follow that which flies before her face,"
1995,Not prizing her poor infant’s discontent;
1996,"So runn’st thou after that which flies from thee,"
1997,Whilst I thy babe chase thee afar behind;
1998,"But if thou catch thy hope, turn back to me,"
1999,"And play the mother’s part, kiss me, be kind;"
2000,"So will I pray that thou mayst have thy ‘Will,’"
2001,If thou turn back and my loud crying still.
2002,"Two loves I have of comfort and despair,"
2003,Which like two spirits do suggest me still:
2004,"The better angel is a man right fair,"
2005,The worser spirit a woman colour’d ill.
2006,"To win me soon to hell, my female evil,"
2007,"Tempteth my better angel from my side,"
2008,"And would corrupt my saint to be a devil,"
2009,Wooing his purity with her foul pride.
2010,"And whether that my angel be turn’d fiend,"
2011,"Suspect I may, yet not directly tell;"
2012,"But being both from me, both to each friend,"
2013,I guess one angel in another’s hell:
2014,"Yet this shall I ne’er know, but live in doubt,"
2015,Till my bad angel fire my good one out.
2016,"Those lips that Love’s own hand did make,"
2017,"Breathed forth the sound that said ‘I hate’,"
2018,To me that languish’d for her sake:
2019,"But when she saw my woeful state,"
2020,"Straight in her heart did mercy come,"
2021,Chiding that tongue that ever sweet
2022,Was us’d in giving gentle doom;
2023,And taught it thus anew to greet;
2024,"‘I hate’ she alter’d with an end,"
2025,"That followed it as gentle day,"
2026,"Doth follow night, who like a fiend"
2027,From heaven to hell is flown away.
2028,"‘I hate’, from hate away she threw,"
2029,"And sav’d my life, saying ‘not you’."
2030,"Poor soul, the centre of my sinful earth,"
2031,"My sinful earth these rebel powers array,"
2032,"Why dost thou pine within and suffer dearth,"
2033,Painting thy outward walls so costly gay?
2034,"Why so large cost, having so short a lease,"
2035,Dost thou upon thy fading mansion spend?
2036,"Shall worms, inheritors of this excess,"
2037,Eat up thy charge? Is this thy body’s end?
2038,"Then soul, live thou upon thy servant’s loss,"
2039,And let that pine to aggravate thy store;
2040,Buy terms divine in selling hours of dross;
2041,"Within be fed, without be rich no more:"
2042,"So shall thou feed on Death, that feeds on men,"
2043,"And Death once dead, there’s no more dying then."
2044,"My love is as a fever longing still,"
2045,For that which longer nurseth the disease;
2046,"Feeding on that which doth preserve the ill,"
2047,The uncertain sickly appetite to please.
2048,"My reason, the physician to my love,"
2049,"Angry that his prescriptions are not kept,"
2050,"Hath left me, and I desperate now approve"
2051,"Desire is death, which physic did except."
2052,"Past cure I am, now Reason is past care,"
2053,And frantic-mad with evermore unrest;
2054,"My thoughts and my discourse as madmen’s are,"
2055,At random from the truth vainly express’d;
2056,"For I have sworn thee fair, and thought thee bright,"
2057,"Who art as black as hell, as dark as night."
2058,"O me! what eyes hath Love put in my head,"
2059,Which have no correspondence with true sight;
2060,"Or, if they have, where is my judgement fled,"
2061,That censures falsely what they see aright?
2062,"If that be fair whereon my false eyes dote,"
2063,What means the world to say it is not so?
2064,"If it be not, then love doth well denote"
2065,"Love’s eye is not so true as all men’s: no,"
2066,"How can it? O! how can Love’s eye be true,"
2067,That is so vexed with watching and with tears?
2068,"No marvel then, though I mistake my view;"
2069,"The sun itself sees not, till heaven clears."
2070,"O cunning Love! with tears thou keep’st me blind,"
2071,Lest eyes well-seeing thy foul faults should find.
2072,"Canst thou, O cruel! say I love thee not,"
2073,When I against myself with thee partake?
2074,"Do I not think on thee, when I forgot"
2075,"Am of my self, all tyrant, for thy sake?"
2076,"Who hateth thee that I do call my friend,"
2077,"On whom frown’st thou that I do fawn upon,"
2078,"Nay, if thou lour’st on me, do I not spend"
2079,Revenge upon myself with present moan?
2080,"What merit do I in my self respect,"
2081,"That is so proud thy service to despise,"
2082,"When all my best doth worship thy defect,"
2083,Commanded by the motion of thine eyes?
2084,"But, love, hate on, for now I know thy mind;"
2085,"Those that can see thou lov’st, and I am blind."
2086,"O! from what power hast thou this powerful might,"
2087,With insufficiency my heart to sway?
2088,"To make me give the lie to my true sight,"
2089,And swear that brightness doth not grace the day?
2090,"Whence hast thou this becoming of things ill,"
2091,That in the very refuse of thy deeds
2092,"There is such strength and warrantise of skill,"
2093,"That, in my mind, thy worst all best exceeds?"
2094,"Who taught thee how to make me love thee more,"
2095,The more I hear and see just cause of hate?
2096,"O! though I love what others do abhor,"
2097,With others thou shouldst not abhor my state:
2098,"If thy unworthiness rais’d love in me,"
2099,More worthy I to be belov’d of thee.
2100,"Love is too young to know what conscience is,"
2101,Yet who knows not conscience is born of love?
2102,"Then, gentle cheater, urge not my amiss,"
2103,Lest guilty of my faults thy sweet self prove:
2104,"For, thou betraying me, I do betray"
2105,My nobler part to my gross body’s treason;
